"id","name","description_title","description","category","spec","width","max_width","height","weight","capacity","clay","glaze","notes","in_stock","coloring","shop_url","instagram_url","completion_date","update_date","valid"
"1","黒亀","玉サボテン様コーヒーカップ「黒亀」","　玉サボテンの亀甲模様からインスピレーションを得たコーヒーカップです。
　6角形の模様がゆるやかに膨らんだ立体感のある仕上がりで、触れるたびにその繊細な質感を楽しむことができます。さらに、高台部分を6本の足のようにデザインし、遊び心をプラスしました。
　上に張り出した取っ手は、持ちやすさを考慮しつつ、デザインのアクセントにもなっています。
　艶やかな黒い地に、無数の油滴模様が広がり、見ていて飽きることのない魅力を放っています。
　この独特なフォルムから「黒亀」と名付けました。","coffee_cup","直径：約10cm (取っ手を除く)、12.5cm (取っ手込み)
高さ：約8.5cm
容量：約160cc (8割注水時)
重さ：190g",NULL,NULL,NULL,NULL,NULL,"赤土","油滴天目",,"0","monotone",NULL,"https://www.instagram.com/p/DFaUGSczXPm/",NULL,"2025-10-20 09:45:15","1"
"3","十二刻","柱サボテン様コーヒーカップ「十二刻」","　柱サボテンをモチーフにしたコーヒーカップです。
　カップの側面全体に、柱サボテンの陵を思わせる立体模様を彫り込みました。
　外側は黒マット釉を施し、しっとりとした手触りと深みのある表情に。内側には白萩釉を掛けており、口縁では白萩と黒マットの釉薬が溶け合い、滴り落ちるような独特の模様が生まれました。
　このカップの最大の特長は、円周に沿って並ぶ 12本の足。その姿がまるで時計の文字盤のように見えることから、「十二刻」と名付けました。
　あなたのコーヒーブレークが、ゆったりとした穏やかなひとときになりますように。「十二刻」とともに、心落ち着く時間をお楽しみください。","coffee_cup","直径：約10cm (取っ手を除く)、12.5cm (取っ手込み)
高さ：約6.5cm
容量：約200cc (8割注水時)
重さ：200g",NULL,NULL,NULL,NULL,NULL,"白土","外側：黒マット
内側：白萩",,"1","monotone","https://minne.com/items/42304460","https://www.instagram.com/p/DGBBiPJzI7t/","2023-10-20","2025-10-20 09:42:41","1"
"7","玄武皿","玉サボテン様12足黒マットパスタ皿「玄武皿」","　全体に6角形の模様が施され、それぞれの6角形が膨らむように彫刻されています。これはまるでサボテンの葉が太陽の光を浴びて膨らむ様子を再現したもの。高台の形も工夫され、12本の足で立つような形に仕上げられています。これはまるでサボテンが土地から根を張っているかのような迫力があります。
　そして、黒マットという釉薬で仕上げられたこのパスタ皿は、艶のない黒い器となっています。1つ1つの模様や足を削りだすのにはとても時間がかかり大変でしたが、その努力が実り、美しい仕上がりとなりました。
　このパスタ皿を使えば、パスタを盛り付けるだけで、まるでサボテンの上に乗っているような気分になれます。サボテンの魔法が詰まったこのパスタ皿で、美味しいパスタを楽しんでください。","pasta_plate","直径：約22cm
高さ：約8.5cm
容量：約530cc (8割注水時)
重さ：約680g",NULL,NULL,NULL,NULL,NULL,"赤土","黒マット",,"0","monotone",NULL,,"2023-10-06","2025-10-20 09:27:07","1"
"8","アルマジロ","サボテン菊水様コーヒーカップ「アルマジロ」","　「菊水」というサボテンをモチーフに、しのぎの技法をで作ったコーヒーカップです。
　カップの側面全体に、上向きのうろこ状の模様をレリーフ状に彫り込みました。彫り込んだ模様は滑らかに仕上げているため、指先でなぞると心地よい手触りです。
　釉薬には「蕎麦」を使用しており、薄くかかった部分は深い茶色に、厚くかかった部分は明るい茶色の斑点模様が浮かび上がります。これにより、レリーフの形に沿って複雑な色の濃淡が生まれ、奥行きのある表情を楽しめます。
　取っ手は幅広に作り、指をしっかり通せるため、安定感のある持ちやすさも魅力のひとつ。
　サボテンをイメージして作りましたが、焼き上がるとその姿はまるでアルマジロの鎧のよう。そこで、このカップには「アルマジロ」という銘を付けました。","coffee_cup","直径：約9.5cm (取っ手を除く)、11.5cm (取っ手込み)
高さ：約7cm
容量：約130cc (8割注水時)
重さ：195g",NULL,NULL,NULL,NULL,NULL,"赤土","蕎麦",,"0","monotone",NULL,"https://www.instagram.com/p/DF7PK8uxji2/","2023-10-06","2025-10-20 09:43:56","1"
"20","赫耀の秘光","玉サボテン様しのぎマグカップ「赫耀の秘光」","　玉サボテンを模した六角形の彫り模様を施したマグカップです。
　外側には光沢を抑えた黒マット釉を使用し、落ち着いた佇まいを演出。
　対照的に、内側の赤結晶釉は周囲の光を反射し、まるで燃え立つ炎のような輝きを放ちます。カップを手に、外側から中を覗くと、暗闇の奥から鋭い赤の光が目に飛び込んできます。
　静寂の黒に秘められた鮮烈な輝きの美しさを映し、「赫耀の秘光」と名付けました。
　光と影が織りなす表情を、ぜひ手に取ってご堪能ください。","coffee_cup","直径：約10.5cm (取っ手を除く)、約13.0cm (取っ手を含む)
高さ：約8.5cm
容量：約260cc (8割注水時)
重さ：234g",NULL,NULL,NULL,NULL,NULL,"赤土","外側：黒マット
内側：赤結晶",,"0","multicolour",NULL,"https://www.instagram.com/p/DGzXjIfzswW/","2024-09-22","2025-10-20 09:31:10","1"
"21","モアレ","玉サボテン様練り込みコーヒーカップ「モアレ」","　これも玉サボテンをモチーフにしたコーヒーカップです。
　普段は白土や赤土など1種類の土で作っていますが、今回は「練り込み」の技法でカップの形を作ってから、サボテンの形に削ってみました。
　赤土と黒土の2つの粘土を使っています。練り込みなので、カップの表面に2つの粘土の縞模様ができますが、これを削ると、削った深さに応じて、さらに別の模様が出てきます。これがとても面白い模様になりました。
　モアレ模様に見えるので、作品名を「モアレ」としました。
　全体に透明釉をかけています。","coffee_cup","直径：約9.0cm (取っ手を除く)、約11.0cm (取っ手を含む)
高さ：約6.5cm
容量：約150cc (8割注水時)
重さ：189g",NULL,NULL,NULL,NULL,NULL,"赤土、黒土","透明釉",,"1","monotone",,"https://www.instagram.com/p/C7wTyJ-plyM/","2024-09-29","2025-10-20 10:48:20","1"
"22","雲海のピラミッド","サボテン金剛丸様練り込みコーヒーカップ「雲海のピラミッド」","　玉サボテンをモチーフにしたコーヒーカップです。
　でも、出来上がった印象は、小さなパイナップルです(笑)。
　赤土と黒土で「練り込み」の技法でカップの形を作ってから、小さなピラミッド状の模様をカップ側面全体につけました。削ることにより、等高線、あるいは、地層のような縞模様が表面に浮かびました。
　全体に透明釉をかけています。
　透明釉ですが、厚くかかると白い膜のようになります。このカップでは、削ったピラミッドとピラミッドの間の溝に厚くかかりました。その見た目の印象から、銘を「雲海のピラミッド」としました。","coffee_cup","直径：約8.0cm (取っ手を除く)、約11.0cm (取っ手を含む)
高さ：約7.5cm
容量：約140cc (8割注水時)
重さ：197g",NULL,NULL,NULL,NULL,NULL,"赤土、黒土","透明釉",,"1","monotone",,"https://www.instagram.com/p/C9r8zxMzRWb/","2024-10-06","2025-10-20 10:50:51","1"
"25","翠紅碗","玉サボテン様乳濁赤結晶どんぶり「翠紅碗」","　サボテンをモチーフにしたどんぶりです。
　外側には、サボテンを模した6角形の模様を彫り込んでいます。その模様に合わせ、高台を6本の足にしました。6本足で立つ様が少しだけかわいいです。
　外側は乳濁という、どちらかというと地味に見える緑色の釉薬を、内側は赤結晶という派手な紅色の釉薬をかけています。
　風雪に耐えるサボテンの、外皮は地味で目立たないのに、内部はみずみずしい感じを表現し、銘を「翠紅碗」としました。","donburi","直径：約15.0cm
高さ：約8.0cm
容量：約400cc (8割注水時)
重さ：350g",NULL,NULL,NULL,NULL,NULL,"赤土","外側：乳濁
内側：赤結晶",,"0","multicolour",NULL,,NULL,"2025-10-20 09:08:39","1"
"26","目覚めのフクロウ","玉サボテン様練り込みコーヒーカップ「目覚めのフクロウ」","　赤土と黒土を練り込み、玉サボテンからインスピレーションを得た六角形の模様を彫り込んだコーヒーカップです。
　高台は6本のスリムな足で支えられ、個性的なフォルムが際立ちます。
　土の自然な色彩と練り込みの美しい模様を引き立てるため、釉薬には透明釉を使用しました。
　銘は 「目覚めのフクロウ」。
　しのぎによって変化した練り込みの模様が、まるで寝ぼけまなこのフクロウのよう。
　手に取るたびに、眠たげな表情のフクロウと目が合い、やさしく穏やかなコーヒーの時間を演出してくれます。","coffee_cup","直径：約8.5cm (取っ手を除く)、約10.5cm (取っ手を含む)
高さ：約8.3cm
容量：約180cc (8割注水時)
重さ：192g",NULL,NULL,NULL,NULL,NULL,"赤土、黒土","透明釉",,"1","monotone","https://minne.com/items/42443960","https://www.instagram.com/p/DAnzWbpz2JF/","2024-10-20","2025-10-20 09:33:55","1"
"27","瑪瑙環","サボテン様練り込みコーヒーカップ「瑪瑙環」","　白土と黒土を練り込み成形し、全体に細かいピラミッド型の模様を彫り込んだコーヒーカップです。練り込みによって生まれる独特の縞模様を削ることでさらに表情豊かな模様の妙が生まれます。
　デザインのモチーフは、サボテンの金剛丸。側面全体に深く刻み込んだピラミッド状のしのぎ模様が、形にメリハリを与え、手に取ったときの感触も楽しめます。
　仕上げには透明釉を施し、練り込み模様の美しさを引き立てました。カップ全体に広がる同心円状の模様が、瑪瑙の層を思わせることから「瑪瑙環」と名付けました。","coffee_cup","直径：約8.5cm (取っ手を除く)、11cm (取っ手込み)
高さ：約6.8cm
容量：約160cc (8割注水時)
重さ：199g",NULL,NULL,NULL,NULL,NULL,"白土、黒土","透明釉",,"0","monotone",NULL,"https://www.instagram.com/p/DAqjjtOzCry/","2024-10-27","2025-10-20 09:39:56","1"
